Date,Open,High,Low,Close,Volume,Predicted High,Predicted Low
20151231,1061.289,1063.488,1058.168,1060.881,61.73826027,1083.488,1061.729
20160104,1062.341,1083.488,1061.729,1074.232,76.13210035,1082.048,1072.629
20160105,1073.55,1082.048,1072.629,1077.232,72.69086022,1095.18,1074.928
20160106,1076.969,1095.18,1074.928,1093.222,77.27988013,1110.08,1091.35
20160107,1093.41,1110.08,1091.35,1108.671,95.72265034,1112.949,1092.229
20160108,1108.269,1112.949,1092.229,1104.031,90.38597044,1108.401,1093.559
20160111,1103.751,1108.401,1093.559,1093.881,89.34253044,1099.192,1083.449
20160112,1093.439,1099.192,1083.449,1086.091,90.92599054,1095.451,1079.76
20160113,1086.689,1095.451,1079.76,1093.191,91.51069043,1095.21,1071.419
20160114,1093.359,1095.21,1071.419,1078.062,96.49797055,1097.282,1076.199
20160115,1079.259,1097.282,1076.199,1088.371,102.2626205,1093.31,1087.508
20160118,1089.402,1093.31,1087.508,1088.688,64.34526036,1094.53,1082.459
20160119,1088.799,1094.53,1082.459,1087.071,102.8079007,1109.619,1086.979
20160120,1087.069,1109.619,1086.979,1100.372,93.04704032,1104.509,1092.389
20160121,1100.71,1104.509,1092.389,1100.741,101.0695204,1102.779,1094.038
20160122,1101.239,1102.779,1094.038,1097.462,75.41215042,1108.88,1097.13
20160125,1097.3,1108.88,1097.13,1107.661,59.22879008,1122.908,1106.939
20160126,1107.409,1122.908,1106.939,1119.591,66.9075502,1127.99,1114.871
20160127,1119.02,1127.99,1114.871,1124.601,63.25666022,1125.779,1110.9
20160128,1125.099,1125.779,1110.9,1114.792,69.7092502,1118.401,1108.352
20160129,1114.14,1118.401,1108.352,1117.891,71.07618026,1129.68,1115.352
20160201,1117.641,1129.68,1115.352,1128.182,65.32860011,1130.951,1122.272
20160202,1127.679,1130.951,1122.272,1128.781,62.08868019,1145.458,1124.319
20160203,1128.529,1145.458,1124.319,1142.091,86.86145028,1157.308,1139.548
20160204,1141.589,1157.308,1139.548,1155.041,96.97843013,1174.49,1145.188
20160205,1154.429,1174.49,1145.188,1173.352,94.18145032,1200.799,1164.248
20160208,1173.299,1200.799,1164.248,1188.741,102.3458003,1198.881,1185.641
20160209,1190.17,1198.881,1185.641,1188.672,112.5407303,1197.69,1181.489
20160210,1189.129,1197.69,1181.489,1196.781,105.5414501,1263.329,1195.602
20160211,1197.239,1263.329,1195.602,1246.219,123.8920701,1248.179,1232.372
20160212,1246.979,1248.179,1232.372,1237.452,113.6236801,1234.799,1202.191
20160215,1231.088,1234.799,1202.191,1208.9,67.33787011,1216.939,1190.829
20160216,1208.229,1216.939,1190.829,1200.102,103.8776303,1213.712,1195.608
20160217,1201.179,1213.712,1195.608,1208.102,108.8294604,1239.879,1200.691
20160218,1209.281,1239.879,1200.691,1230.472,95.81948033,1234.528,1219.902
20160219,1230.409,1234.528,1219.902,1225.832,101.7738203,1226.188,1201.871
20160222,1225.059,1226.188,1201.871,1208.332,96.61526015,1228.23,1207.15
20160223,1208.39,1228.23,1207.15,1225.301,96.97307023,1253.251,1221.741
20160224,1225.16,1253.251,1221.741,1228.342,127.9213804,1242.931,1221.129
20160225,1227.949,1242.931,1221.129,1232.621,127.2475004,1240.458,1211.459
20160226,1231.69,1240.458,1211.459,1222.421,103.5876404,1241.069,1215.651
20160229,1222.511,1241.069,1215.651,1238.171,110.9985307,1248.461,1227.149
20160301,1237.529,1248.461,1227.149,1231.681,118.3181304,1244.009,1224.708
20160302,1231.209,1244.009,1224.708,1239.621,97.40222043,1268.248,1237.352
20160303,1239.899,1268.248,1237.352,1263.902,121.5474306,1279.728,1250.508
20160304,1263.479,1279.728,1250.508,1258.991,123.6213802,1273.111,1256.659
20160307,1263.739,1273.111,1256.659,1266.791,106.5102201,1278.04,1260.5
20160308,1267.069,1278.04,1260.5,1261.032,110.7151403,1264.889,1242.912
20160309,1261.419,1264.889,1242.912,1252.641,108.2276202,1273.299,1237.111
20160310,1252.569,1273.299,1237.111,1271.932,102.9260399,1284.189,1248.169
20160311,1271.21,1284.189,1248.169,1250.392,107.5946601,1261.038,1229.198
20160314,1249.98,1261.038,1229.198,1234.93,80.98483022,1238.039,1225.659
20160315,1235.329,1238.039,1225.659,1232.349,75.1451702,1263.842,1226.718
20160316,1232.439,1263.842,1226.718,1262.319,93.94849999,1270.892,1254.389
20160317,1260.818,1270.892,1254.389,1257.61,121.3475798,1266.848,1247.798
20160318,1256.969,1266.848,1247.798,1254.788,108.09825,1255.96,1240.571
20160321,1254.178,1255.96,1240.571,1243.59,78.78967995,1260.24,1242.309
20160322,1243.939,1260.24,1242.309,1248.049,93.25392996,1249.429,1215.3
20160323,1247.919,1249.429,1215.3,1219.869,100.3270503,1223.732,1212.16
20160324,1220.62,1223.732,1212.16,1216.95,97.00793004,1223.06,1208.068
20160328,1215.608,1223.06,1208.068,1221.209,80.50486015,1242.878,1215.29
20160329,1221.408,1242.878,1215.29,1240.218,82.40753001,1244.029,1223.169
20160330,1240.818,1244.029,1223.169,1224.77,89.89339007,1240.352,1223.839
20160331,1225.27,1240.352,1223.839,1232.269,93.87009999,1235.26,1208.999
20160401,1232.198,1235.26,1208.999,1221.449,102.6560202,1222.55,1214.548
20160404,1220.102,1222.55,1214.548,1215.379,93.01797,1236.751,1214.729
20160405,1215.569,1236.751,1214.729,1231.04,117.4419502,1232.179,1216.481
20160406,1230.838,1232.179,1216.481,1222.03,101.3297102,1243.2,1222.378
20160407,1222.429,1243.2,1222.378,1240.199,128.7349404,1242.639,1229.55
20160408,1240.049,1242.639,1229.55,1239.059,92.38767994,1258.659,1239.198
20160411,1239.398,1258.659,1239.198,1257.55,105.7349499,1262.589,1251.109
20160412,1258.039,1262.589,1251.109,1255.239,97.99207979,1256.71,1239.749
20160413,1255.178,1256.71,1239.749,1242.289,95.04640989,1244.05,1223.789
20160414,1241.698,1244.05,1223.789,1227.629,119.4120344,1235.84,1225.198
20160415,1227.12,1235.84,1225.198,1233.398,86.96888995,1241.58,1230.062
20160418,1234.68,1241.58,1230.062,1232.04,76.54580991,1256.579,1227.649
20160419,1232.239,1256.579,1227.649,1249.98,93.73806978,1257.94,1242.329
20160420,1249.61,1257.94,1242.329,1244.059,100.0222498,1270.222,1242.438
20160421,1242.799,1270.222,1242.438,1247.86,110.16593,1252.609,1227.349
20160422,1246.819,1252.609,1227.349,1231.878,103.59552,1242.23,1229.99
20160425,1232.708,1242.23,1229.99,1237.62,85.18069984,1244.879,1231.298
20160426,1237.889,1244.879,1231.298,1243.21,104.4126703,1252.6,1239.35
20160427,1243.688,1252.6,1239.35,1245.6,85.09319988,1269.59,1237.692
20160428,1245.529,1269.59,1237.692,1266.271,103.3433695,1296.652,1264.871
20160429,1265.999,1296.652,1264.871,1292.138,85.40215924,1303.655,1287.609
20160502,1290.48,1303.655,1287.609,1291.181,91.73441977,1301.702,1282.172
20160503,1291.289,1301.702,1282.172,1286.141,104.2184897,1289.741,1271.749
20160504,1284.978,1289.741,1271.749,1279.142,101.8127698,1286.4,1268.789
20160505,1279.209,1286.4,1268.789,1276.608,110.2919297,1295.49,1274.389
20160506,1277.299,1295.49,1274.389,1287.028,101.3103796,1287.479,1261.238
20160509,1284.481,1287.479,1261.238,1263.652,121.2061703,1269.459,1256.809
20160510,1263.799,1269.459,1256.809,1264.599,122.5059804,1279.08,1264.698
20160511,1265.618,1279.08,1264.698,1277.181,100.1312001,1280.87,1261.589
20160512,1277.599,1280.87,1261.589,1262.078,102.67769,1276.268,1262.778
20160513,1263.268,1276.268,1262.778,1272.459,99.35337997,1288.659,1270.929
20160516,1271.43,1288.659,1270.929,1273.671,102.2582694,1282.191,1269.069
20160517,1273.338,1282.191,1269.069,1278.782,103.6423797,1281.439,1255.019
20160518,1279.058,1281.439,1255.019,1258.372,116.26622,1261.23,1243.789
20160519,1257.859,1261.23,1243.789,1253.318,110.67233,1260.199,1248.758
20160520,1254.848,1260.199,1248.758,1251.568,92.35404936,1255.99,1243.098
20160523,1250.93,1255.99,1243.098,1247.609,102.7437201,1252.14,1225.959
20160524,1248.778,1252.14,1225.959,1225.96,121.5881601,1230.12,1217.789
20160525,1227.039,1230.12,1217.789,1223.069,105.3925902,1234.142,1218.221
20160526,1223.519,1234.142,1218.221,1219.201,93.2158199,1223.531,1206.679
20160527,1219.598,1223.531,1206.679,1212.239,94.9707101,1213.36,1199.732
20160530,1212.409,1213.36,1199.732,1204.509,51.67348991,1218.158,1205.279
20160531,1206.079,1218.158,1205.279,1214.148,88.99883001,1220.36,1205.909
20160601,1215.349,1220.36,1205.909,1212.321,89.08194995,1217.63,1209.559
20160602,1213.359,1217.63,1209.559,1209.559,93.11712007,1244.68,1206.9
20160603,1210.649,1244.68,1206.9,1243.848,82.14788875,1248.629,1239.92
20160606,1242.879,1248.629,1239.92,1244.855,78.14861987,1246.52,1234.771
20160607,1245.148,1246.52,1234.771,1242.71,69.42869988,1264.332,1242.979
20160608,1243.908,1264.332,1242.979,1260.908,80.04783995,1271.632,1256.761
20160609,1261.858,1271.632,1256.761,1268.42,71.14761999,1278.09,1264.509
20160610,1268.718,1278.09,1264.509,1272.838,66.85592002,1287.142,1272.352
20160613,1275.448,1287.142,1272.352,1282.538,77.61591969,1289.772,1276.228
20160614,1283.168,1289.772,1276.228,1285.822,73.46032981,1296.749,1278.428
20160615,1284.689,1296.749,1278.428,1290.338,76.52087992,1315.53,1276.902
20160616,1291.659,1315.53,1276.902,1276.902,103.0071298,1299.441,1276.53
20160617,1278.848,1299.441,1276.53,1297.559,83.30253983,1292.219,1277.969
20160620,1289.379,1292.219,1277.969,1289.922,82.00867984,1294.189,1264.478
20160621,1289.298,1294.189,1264.478,1268.321,105.9164502,1270.6,1261.119
20160622,1268.088,1270.6,1261.119,1264.828,88.6829001,1271.839,1254.378
20160623,1265.099,1271.839,1254.378,1255.171,66.26654,1358.229,1250.179
20160624,1251.161,1358.229,1250.179,1315.43,95.80964959,1335.289,1317.629
20160627,1321.238,1335.289,1317.629,1323.851,94.27148003,1326,1305.458
20160628,1324.279,1326,1305.458,1311.601,97.10323019,1327.802,1310.059
20160629,1310.238,1327.802,1310.059,1319.082,79.83641998,1324.13,1312.789
20160630,1317.198,1324.13,1312.789,1321.201,94.44453025,1344.48,1320.518
20160701,1322.089,1344.48,1320.518,1340.511,67.59489981,1357.439,1335.941
20160704,1341.38,1357.439,1335.941,1350.819,48.37069985,1357.55,1338.039
20160705,1347.761,1357.55,1338.039,1354.708,79.66511001,1375.081,1355.158
20160706,1355.158,1375.081,1355.158,1363.351,86.73251987,1370.692,1350.789
20160707,1363.658,1370.692,1350.789,1361.031,84.96407954,1370.34,1335.419
20160708,1359.228,1370.34,1335.419,1365.778,73.34695415,1375.02,1350.83
20160711,1367.578,1375.02,1350.83,1355.181,84.17183922,1357.668,1330.312
20160712,1355.189,1357.668,1330.312,1332.039,83.77632938,1345.33,1327.548
20160713,1333.008,1345.33,1327.548,1342.002,79.63673906,1347.061,1320.201
20160714,1343.659,1347.061,1320.201,1334.811,94.75092936,1338.63,1322.498
20160715,1335.559,1338.63,1322.498,1336.629,78.19727937,1335.47,1323.461
20160718,1332.618,1335.47,1323.461,1327.849,70.5236994,1334.926,1325.579
20160719,1328.598,1334.926,1325.579,1330.829,63.91276946,1338.349,1312.589
20160720,1331.078,1338.349,1312.589,1314.829,79.03966968,1333.83,1310.759
20160721,1316.018,1333.83,1310.759,1330.128,86.33250928,1333.73,1319.628
20160722,1331.348,1333.73,1319.628,1321.688,76.65669945,1323.71,1311.971
20160725,1322.679,1323.71,1311.971,1314.428,68.42821961,1324.488,1313.759
20160726,1315.279,1324.488,1313.759,1319.248,57.04176939,1342.418,1315.762
20160727,1319.189,1342.418,1315.762,1338.818,61.28942928,1345.528,1332.439
20160728,1338.998,1345.528,1332.439,1334.679,75.06303949,1354.998,1328.462
20160729,1335.749,1354.998,1328.462,1350.078,87.81813921,1354.849,1346.229
20160801,1349.338,1354.849,1346.229,1352.109,69.13955945,1367.198,1347.108
20160802,1353.698,1367.198,1347.108,1362.658,73.35944935,1366.45,1354.181
20160803,1363.578,1366.45,1354.181,1357.258,64.66449951,1364.948,1349.1
20160804,1358.138,1364.948,1349.1,1360.169,71.82197936,1364.649,1334.718
20160805,1360.268,1364.649,1334.718,1335.128,76.51952963,1338.249,1329.868
20160808,1335.348,1338.249,1329.868,1334.208,65.19171952,1342.598,1330.579
20160809,1335.498,1342.598,1330.579,1339.578,57.02221947,1357.16,1339.219
20160810,1340.118,1357.16,1339.219,1345.509,69.69626947,1353.279,1335.728
20160811,1346.548,1353.279,1335.728,1337.709,61.09521935,1356.339,1333.309
20160812,1338.979,1356.339,1333.309,1335.318,65.64656929,1343.808,1335.749
20160815,1338.029,1343.808,1335.749,1338.459,51.7773794,1358.009,1338.318
20160816,1338.318,1358.009,1338.318,1345.099,73.55745939,1351.639,1335.91
20160817,1345.13,1351.639,1335.91,1347.678,66.19002946,1356.049,1346.038
20160818,1348.739,1356.049,1346.038,1351.209,69.4628692,1352.809,1337.738
20160819,1351.998,1352.809,1337.738,1340.899,63.75941947,1340.811,1331.69
20160822,1340.351,1340.811,1331.69,1338.309,86.78544941,1344.63,1335.289
20160823,1338.58,1344.63,1335.289,1336.329,70.4962993,1340.062,1323.539
20160824,1338.059,1340.062,1323.539,1323.568,73.74260951,1326.959,1318.009
20160825,1323.898,1326.959,1318.009,1320.828,58.20621955,1342.161,1318.328
20160826,1321.458,1342.161,1318.328,1320.609,73.33304957,1325.068,1314.872
20160829,1319.971,1325.068,1314.872,1322.228,72.87164942,1325.43,1309.229
20160830,1323.728,1325.43,1309.229,1309.658,77.60392951,1316.088,1304.358
20160831,1311.768,1316.088,1304.358,1307.729,73.99597957,1315.109,1302.452
20160901,1307.919,1315.109,1302.452,1312.508,71.21969931,1330.089,1303.118
20160902,1314.639,1330.089,1303.118,1324.608,69.32527947,1328.538,1321.759
20160905,1323.899,1328.538,1321.759,1326.819,44.29917964,1352.519,1324.85
20160906,1325.789,1352.519,1324.85,1348.408,82.04880929,1352.558,1342.658
20160907,1347.798,1352.558,1342.658,1343.988,71.96206945,1349.33,1335.521
20160908,1344.179,1349.33,1335.521,1336.929,76.7990997,1339.499,1327.129
20160909,1337.489,1339.499,1327.129,1327.509,80.31877968,1330.219,1320.379
20160912,1328.018,1330.219,1320.379,1326.228,88.04351981,1331.969,1315.589
20160913,1328.249,1331.969,1315.589,1317.388,87.4126695,1325.95,1313.519
20160914,1317.578,1325.95,1313.519,1321.408,75.78551956,1328.448,1309.289
20160915,1322.119,1328.448,1309.289,1313.228,78.37808956,1318.028,1306.199
20160916,1314.079,1318.028,1306.199,1309.878,70.22830979,1318.4,1309.408
20160919,1309.68,1318.4,1309.408,1311.729,63.11057961,1317.888,1311.698
20160920,1311.879,1317.888,1311.698,1314.649,53.04738971,1336.879,1307.91
20160921,1313.528,1336.879,1307.91,1334.338,93.62892952,1343.629,1331.149
20160922,1334.898,1343.629,1331.149,1335.828,79.99772881,1340.59,1333.748
20160923,1335.829,1340.59,1333.748,1337.069,61.46808946,1342.119,1332.689
20160926,1336.652,1342.119,1332.689,1336.478,64.25356918,1339.46,1324.702
20160927,1337.108,1339.46,1324.702,1325.929,73.25117955,1327.499,1317.989
20160928,1325.928,1327.499,1317.989,1320.499,63.62285979,1325.778,1316.039
20160929,1320.899,1325.778,1316.039,1318.828,66.91506966,1328.009,1313.228
20160930,1319.649,1328.009,1313.228,1314.998,72.18086963,1319.619,1309.331
20161003,1318.429,1319.619,1309.331,1310.458,52.63587,1312.978,1266.87
20161004,1312.108,1312.978,1266.87,1267.258,83.11242975,1277.111,1262.118
20161005,1267.659,1277.111,1262.118,1265.509,72.03573966,1269.358,1249.818
20161006,1267.078,1269.358,1249.818,1253.059,64.51124978,1265.399,1241.388
20161007,1254.359,1265.399,1241.388,1256.159,66.41503007,1264.929,1256.511
20161010,1256.931,1264.929,1256.511,1258.209,41.05264015,1262.119,1251.228
20161011,1259.03,1262.119,1251.228,1251.228,56.78106984,1258.836,1249.739
20161012,1251.528,1258.836,1249.739,1254.929,51.76879975,1262.23,1253.088
20161013,1255.608,1262.23,1253.088,1256.859,52.8146198,1259.389,1246.058
20161014,1258.058,1259.389,1246.058,1250.529,56.56700994,1257.111,1250.111
20161017,1251.509,1257.111,1250.111,1254.609,49.45646956,1264.71,1254.929
20161018,1254.929,1264.71,1254.929,1261.179,47.54027978,1273.309,1260.252
20161019,1262.029,1273.309,1260.252,1268.008,50.85317974,1274.368,1264.479
20161020,1269.318,1274.368,1264.479,1264.528,45.93963478,1267.998,1261.111
20161021,1265.858,1267.998,1261.111,1265.899,44.87726973,1271.871,1260.401
20161024,1265.729,1271.871,1260.401,1263.359,43.28340985,1276.611,1262.071
20161025,1264.839,1276.611,1262.071,1272.409,43.3603295,1276.44,1264.692
20161026,1272.479,1276.44,1264.692,1265.979,41.62381964,1272.779,1265.061
20161027,1266.798,1272.779,1265.061,1267.159,43.22116458,1284.158,1261.518
20161028,1267.658,1284.158,1261.518,1274.358,46.94850952,1279.489,1271.189
20161031,1277.208,1279.489,1271.189,1276.009,44.39512956,1291.822,1275.479
20161101,1276.409,1291.822,1275.479,1286.808,57.79522938,1307.961,1287.328
20161102,1288.018,1307.961,1287.328,1295.608,64.64376931,1306.65,1285.618
20161103,1296.158,1306.65,1285.618,1301.158,66.57513432,1307.17,1294.711
20161104,1302.348,1307.17,1294.711,1303.559,63.76451454,1295.811,1278.109
20161107,1292.729,1295.811,1278.109,1280.829,59.93452931,1290.589,1272.801
20161108,1280.849,1290.589,1272.801,1275.478,61.17096447,1337.308,1267.949
20161109,1275.469,1337.308,1267.949,1274.629,135.1222066,1292.209,1252.278
20161110,1274.549,1292.209,1252.278,1256.24,90.38550933,1265.391,1219.039
20161111,1256.269,1265.391,1219.039,1227.64,78.74948452,1227.87,1223.598
20161112,1227.689,1227.87,1223.598,1225.982,1.175415014,1231.241,1211.538
20161114,1226.872,1231.241,1211.538,1217.989,98.86441451,1231.54,1217.749
20161115,1218.039,1231.54,1217.749,1228.03,72.87454421,1232.998,1221.458
20161116,1228.009,1232.998,1221.458,1224.769,72.05663436,1231.378,1210.969
20161117,1224.719,1231.378,1210.969,1218.298,64.54369931,1218.498,1202.898
20161118,1218.279,1218.498,1202.898,1208.098,66.50033525,1209.151,1207.008
20161119,1208.118,1209.151,1207.008,1207.062,0.2518,1217.583,1205.541
20161121,1207.792,1217.583,1205.541,1212.288,55.35483937,1220.969,1206.128
20161122,1212.298,1220.969,1206.128,1211.988,60.8251524,1214.691,1181.702
20161123,1211.959,1214.691,1181.702,1187.839,55.5890914,1190.768,1180.338
20161124,1187.828,1190.768,1180.338,1183.968,37.34945459,1193.231,1170.839
