Date,Open,High,Low,Close,Predicted High,Predicted Low
20131017,1.03265,1.03317,1.02805,1.02887,1.03015,1.0277
20131018,1.02884,1.03015,1.0277,1.02831,1.03034,1.0286
20131021,1.029,1.03034,1.0286,1.03032,1.03095,1.0271
20131022,1.03033,1.03095,1.0271,1.02856,1.03964,1.02822
20131023,1.02856,1.03964,1.02822,1.03813,1.04375,1.03659
20131024,1.03814,1.04375,1.03659,1.04204,1.04603,1.04101
20131025,1.04202,1.04603,1.04101,1.04449,1.04501,1.04432
20131027,1.04467,1.04501,1.04432,1.04481,1.04512,1.04291
20131028,1.04489,1.04512,1.04291,1.04438,1.0471,1.04273
20131029,1.04442,1.0471,1.04273,1.04663,1.04962,1.04404
20131030,1.04665,1.04962,1.04404,1.04759,1.04895,1.0412
20131031,1.04758,1.04895,1.0412,1.04344,1.04535,1.04114
20131101,1.04345,1.04535,1.04114,1.04179,1.04277,1.03978
20131104,1.04144,1.04277,1.03978,1.04241,1.04616,1.04165
20131105,1.04238,1.04616,1.04165,1.04549,1.04586,1.04115
20131106,1.04552,1.04586,1.04115,1.0418,1.04629,1.04055
20131107,1.04174,1.04629,1.04055,1.046,1.05028,1.04452
20131108,1.046,1.05028,1.04452,1.04764,1.04858,1.0465
20131111,1.04816,1.04858,1.0465,1.04736,1.05082,1.04636
20131112,1.04735,1.05082,1.04636,1.0494,1.04959,1.04517
20131113,1.04944,1.04959,1.04517,1.04545,1.05254,1.04401
20131114,1.04545,1.05254,1.04401,1.04641,1.04842,1.04366
20131115,1.04638,1.04842,1.04366,1.04378,1.0442,1.04146
20131118,1.04359,1.0442,1.04146,1.04277,1.04846,1.0415
20131119,1.04272,1.04846,1.0415,1.0468,1.04732,1.04356
20131120,1.04679,1.04732,1.04356,1.04517,1.0526,1.04455
20131121,1.04502,1.0526,1.04455,1.05174,1.05685,1.05107
20131122,1.05163,1.05685,1.05107,1.05117,1.05829,1.05213
20131125,1.05289,1.05829,1.05213,1.05423,1.05579,1.05197
20131126,1.05423,1.05579,1.05197,1.054,1.06022,1.05313
20131127,1.054,1.06022,1.05313,1.05938,1.05975,1.05707
20131128,1.05939,1.05975,1.05707,1.05808,1.0628,1.0559
20131129,1.05803,1.0628,1.0559,1.06108,1.06537,1.06136
20131202,1.0621,1.06537,1.06136,1.06433,1.06722,1.06309
20131203,1.06432,1.06722,1.06309,1.06481,1.0707,1.06379
20131204,1.06484,1.0707,1.06379,1.06819,1.06988,1.06247
20131205,1.06826,1.06988,1.06247,1.06528,1.07067,1.06218
20131206,1.06535,1.07067,1.06218,1.06355,1.06696,1.06256
20131209,1.06457,1.06696,1.06256,1.0626,1.06452,1.06007
20131210,1.06253,1.06452,1.06007,1.06015,1.06198,1.05845
20131211,1.06016,1.06198,1.05845,1.05899,1.06559,1.05605
20131212,1.05893,1.06559,1.05605,1.06384,1.06685,1.05801
20131213,1.06385,1.06685,1.05801,1.05831,1.05958,1.05724
20131216,1.05926,1.05958,1.05724,1.05958,1.06174,1.05759
20131217,1.05958,1.06174,1.05759,1.06058,1.07026,1.0601
20131218,1.0606,1.07026,1.0601,1.07009,1.07275,1.06604
20131219,1.07009,1.07275,1.06604,1.06628,1.07369,1.0628
20131220,1.06628,1.07369,1.0628,1.06325,1.06526,1.05813
20131223,1.06398,1.06526,1.05813,1.06058,1.06346,1.06036
20131224,1.06039,1.06346,1.06036,1.0626,1.06339,1.05936
20131225,1.06253,1.06339,1.05936,1.06284,1.06494,1.0616
20131226,1.0625,1.06494,1.0616,1.06474,1.07183,1.06192
20131227,1.06465,1.07183,1.06192,1.07025,1.07272,1.06364
20131230,1.06992,1.07272,1.06364,1.06487,1.06565,1.0612
20131231,1.06476,1.06565,1.0612,1.0618,1.06776,1.05882
20140102,1.06399,1.06776,1.05882,1.0669,1.06717,1.06023
20140103,1.06687,1.06717,1.06023,1.06308,1.06804,1.06087
20140106,1.06312,1.06804,1.06087,1.06547,1.07809,1.06493
20140107,1.06557,1.07809,1.06493,1.07641,1.08299,1.07611
20140108,1.07641,1.08299,1.07611,1.08198,1.08742,1.08171
20140109,1.08198,1.08742,1.08171,1.0841,1.09456,1.08369
20140110,1.08412,1.09456,1.08369,1.08896,1.09291,1.08426
20140113,1.09055,1.09291,1.08426,1.08615,1.09585,1.08585
20140114,1.0862,1.09585,1.08585,1.09461,1.09909,1.092
20140115,1.09458,1.09909,1.092,1.09335,1.09624,1.09048
20140116,1.09333,1.09624,1.09048,1.09296,1.0983,1.09256
20140117,1.09302,1.0983,1.09256,1.0959,1.0972,1.09294
20140120,1.09611,1.0972,1.09294,1.09452,1.10186,1.09425
20140121,1.09457,1.10186,1.09425,1.09661,1.10918,1.09534
20140122,1.0967,1.10918,1.09534,1.10863,1.11732,1.10809
20140123,1.10865,1.11732,1.10809,1.11012,1.11374,1.10519
20140124,1.11017,1.11374,1.10519,1.10864,1.11165,1.10312
20140127,1.10645,1.11165,1.10312,1.11143,1.11765,1.10781
20140128,1.1114,1.11765,1.10781,1.11519,1.11864,1.11023
20140129,1.11519,1.11864,1.11023,1.11692,1.11985,1.11505
20140130,1.11694,1.11985,1.11505,1.11575,1.12243,1.10873
20140131,1.11575,1.12243,1.10873,1.11267,1.11333,1.10409
20140203,1.11138,1.11333,1.10409,1.11152,1.11233,1.10482
20140204,1.11173,1.11233,1.10482,1.10808,1.11209,1.10369
20140205,1.10809,1.11209,1.10369,1.10822,1.11221,1.10506
20140206,1.10818,1.11221,1.10506,1.10691,1.10789,1.09674
20140207,1.107,1.10789,1.09674,1.10295,1.1062,1.10181
20140210,1.10346,1.1062,1.10181,1.10545,1.10903,1.10028
20140211,1.10544,1.10903,1.10028,1.10065,1.10248,1.09759
20140212,1.10079,1.10248,1.09759,1.10021,1.10261,1.09542
20140213,1.10014,1.10261,1.09542,1.09757,1.09897,1.094
20140214,1.09762,1.09897,1.094,1.09797,1.09867,1.09526
20140217,1.09849,1.09867,1.09526,1.09631,1.09762,1.09399
20140218,1.0963,1.09762,1.09399,1.09457,1.10864,1.09101
20140219,1.09455,1.10864,1.09101,1.10788,1.11125,1.10604
